trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2020/11/6,SPF,3485.75,3470,15,0.43%,53,3470,60,202103
2020/11/9,SPF,3540,3547.75,77.75,2.24%,34,3553.25,74,202103
2020/11/10,SPF,3529.75,3509.75,-43.5,-1.22%,223,3509.75,65,202103
2020/11/11,SPF,3528,3535.25,25.5,0.73%,14,3535.25,61,202103
2020/11/12,SPF,3554,3540,4.75,0.13%,93,3540,73,202103
2020/11/13,SPF,3519.75,3518.75,-21.25,-0.60%,35,3523,60,202103
2020/11/16,SPF,3596,3603,80,2.27%,22,3603,72,202103
2020/11/17,SPF,3611,3602.5,-0.5,-0.01%,24,3602.5,51,202103
2020/11/18,SPF,-,-,-,-,0,3596.75,50,202103
2020/11/19,SPF,3557.5,3553,-43.75,-1.22%,12,3553,52,202103
2020/11/20,SPF,3552,3552,-1,-0.03%,11,3552,52,202103
2020/11/23,SPF,3554.75,3554.75,2.75,0.08%,19,3554.75,33,202103
2020/11/24,SPF,3584,3583.25,28.5,0.80%,4,3583.25,33,202103
2020/11/25,SPF,3640.75,3635.5,52.25,1.46%,13,3630.25,36,202103
2020/11/26,SPF,3628,3628,-2.25,-0.06%,1,3628,35,202103
2020/11/27,SPF,-,-,-,-,0,3618.5,35,202103
2020/11/30,SPF,3618.75,3606.75,-11.75,-0.32%,54,3606.75,71,202103
2020/12/1,SPF,3634,3647,40.25,1.12%,3,3647,70,202103
2020/12/2,SPF,3640.25,3642,-5,-0.14%,2,3642,70,202103
2020/12/3,SPF,3656.25,3657.25,15.25,0.42%,39,3657.25,74,202103
2020/12/4,SPF,-,-,-,-,0,3665.75,48,202103
2020/12/7,SPF,3681,3681,15.25,0.42%,10,3681,57,202103
2020/12/8,SPF,3673.5,3674.75,-6.25,-0.17%,2,3674.75,70,202103
2020/12/9,SPF,3701,3701,26.25,0.71%,19,3701,82,202103
2020/12/10,SPF,3666,3664.5,-36.5,-0.99%,19,3664.5,80,202103
2020/12/11,SPF,3665,3663,-1.5,-0.04%,33,3663,79,202103
2020/12/14,SPF,3672,3670.5,7.5,0.20%,46,3670.5,81,202103
2020/12/15,SPF,3648.25,3642.75,-27.75,-0.76%,72,3642.75,156,202103
2020/12/16,SPF,3683,3684,41.25,1.13%,65,3684,155,202103
2020/12/17,SPF,3696,3702.75,18.75,0.51%,68,3702.75,159,202103
2020/12/18,SPF,3710.25,3701.5,-1.25,-0.03%,44,3701.5,162,202103
2020/12/21,SPF,3703,3704.5,3,0.08%,118,3704.5,186,202103
2020/12/21,SPF,-,-,-,-,0,3664.5,0,202203
2020/12/22,SPF,3682.25,3666.5,-38,-1.03%,193,3666.5,251,202103
2020/12/22,SPF,-,-,-,-,0,3626.5,0,202203
2020/12/23,SPF,3670.75,3671,4.5,0.12%,159,3671,245,202103
2020/12/23,SPF,-,-,-,-,0,3631,0,202203
