trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2017/8/29,SPF,2430,2430.5,-8.5,-0.35%,30,2430.5,243,201709
2017/8/29,SPF,-,-,-,-,0,2427.25,1,201809
2017/8/30,SPF,2447.75,2449,18.5,0.76%,9,2449,222,201709
2017/8/30,SPF,-,-,-,-,0,2445.75,1,201809
2017/8/31,SPF,2459,2457,8,0.33%,9,2457,233,201709
2017/8/31,SPF,-,-,-,-,0,2453.75,1,201809
2017/9/1,SPF,2471.25,2470.5,13.5,0.55%,33,2470.5,283,201709
2017/9/1,SPF,-,-,-,-,0,2467.25,1,201809
2017/9/4,SPF,2466.25,2466,-4.5,-0.18%,38,2466,295,201709
2017/9/4,SPF,-,-,-,-,0,2462.75,1,201809
2017/9/5,SPF,2468,2469.25,3.25,0.13%,13,2469.25,294,201709
2017/9/5,SPF,-,-,-,-,0,2466,1,201809
2017/9/6,SPF,2458.25,2458.5,-10.75,-0.44%,12,2458.5,275,201709
2017/9/6,SPF,-,-,-,-,0,2455.25,1,201809
2017/9/7,SPF,2464.25,2460.25,1.75,0.07%,6,2460.25,258,201709
2017/9/7,SPF,-,-,-,-,0,2457,1,201809
2017/9/8,SPF,2462.5,2461.75,1.5,0.06%,7,2461.75,252,201709
2017/9/8,SPF,-,-,-,-,0,2458.5,1,201809
2017/9/11,SPF,2471.5,2473.5,11.75,0.48%,13,2473.5,255,201709
2017/9/11,SPF,-,-,-,-,0,2470.25,1,201809
2017/9/12,SPF,2488.5,2487.5,14,0.57%,6,2487.5,272,201709
2017/9/12,SPF,-,-,-,-,0,2484.25,1,201809
2017/9/13,SPF,2495.25,2495.25,7.75,0.31%,31,2493.75,249,201709
2017/9/13,SPF,-,-,-,-,0,2490.5,1,201809
2017/9/14,SPF,2494.75,2494,0.25,0.01%,50,2494,242,201709
2017/9/14,SPF,-,-,-,-,0,2490.75,1,201809
2017/9/15,SPF,2492.25,2495,1,0.04%,25,2495,228,201709
2017/9/15,SPF,-,-,-,-,0,2491.75,1,201809
2017/9/18,SPF,-,-,-,-,0,2502.5,1,201809
2017/9/19,SPF,-,-,-,-,0,2502.25,1,201809
2017/9/20,SPF,-,-,-,-,0,2502.5,1,201809
2017/9/21,SPF,-,-,-,-,0,2502.5,1,201809
2017/9/22,SPF,-,-,-,-,0,2493.5,1,201809
2017/9/25,SPF,-,-,-,-,0,2496.25,1,201809
2017/9/26,SPF,-,-,-,-,0,2493.5,1,201809
2017/9/27,SPF,-,-,-,-,0,2496.25,1,201809
2017/9/28,SPF,-,-,-,-,0,2503.75,1,201809
2017/9/29,SPF,-,-,-,-,0,2506.5,1,201809
2017/9/30,SPF,-,-,-,-,0,2518,1,201809
2017/10/2,SPF,-,-,-,-,0,2517.75,1,201809
2017/10/3,SPF,-,-,-,-,0,2527.75,1,201809
2017/10/5,SPF,-,-,-,-,0,2535.25,1,201809
2017/10/6,SPF,-,-,-,-,0,2549,1,201809
2017/10/11,SPF,-,-,-,-,0,2547.75,1,201809
2017/10/12,SPF,-,-,-,-,0,2550.75,1,201809
2017/10/13,SPF,-,-,-,-,0,2549,1,201809
2017/10/16,SPF,-,-,-,-,0,2554.5,1,201809
2017/10/17,SPF,-,-,-,-,0,2554,1,201809
2017/10/18,SPF,-,-,-,-,0,2557,1,201809
2017/10/19,SPF,-,-,-,-,0,2558,1,201809
2017/10/20,SPF,-,-,-,-,0,2566.25,1,201809
2017/10/23,SPF,-,-,-,-,0,2573,1,201809
2017/10/24,SPF,-,-,-,-,0,2565,1,201809
2017/10/25,SPF,-,-,-,-,0,2560.75,1,201809
2017/10/26,SPF,-,-,-,-,0,2556.25,1,201809
2017/10/27,SPF,-,-,-,-,0,2562.25,1,201809
2017/10/30,SPF,-,-,-,-,0,2572,1,201809
2017/10/31,SPF,-,-,-,-,0,2569,1,201809
2017/11/1,SPF,-,-,-,-,0,2575.5,1,201809
2017/11/2,SPF,-,-,-,-,0,2568.5,1,201809
2017/11/3,SPF,-,-,-,-,0,2577,1,201809
2017/11/6,SPF,-,-,-,-,0,2577.75,1,201809
2017/11/7,SPF,-,-,-,-,0,2590,1,201809
2017/11/8,SPF,-,-,-,-,0,2583,1,201809
2017/11/9,SPF,-,-,-,-,0,2585,1,201809
2017/11/10,SPF,-,-,-,-,0,2583.25,1,201809
2017/11/13,SPF,-,-,-,-,0,2580.5,1,201809
2017/11/14,SPF,-,-,-,-,0,2578.5,1,201809
2017/11/15,SPF,-,-,-,-,0,2571,1,201809
2017/11/16,SPF,-,-,-,-,0,2569.5,1,201809
2017/11/17,SPF,-,-,-,-,0,2581.75,1,201809
2017/11/20,SPF,-,-,-,-,0,2570.75,1,201809
2017/11/21,SPF,-,-,-,-,0,2581.75,1,201809
2017/11/22,SPF,-,-,-,-,0,2595.75,1,201809
2017/11/23,SPF,-,-,-,-,0,2594,1,201809
2017/11/24,SPF,-,-,-,-,0,2596.75,1,201809
2017/11/27,SPF,-,-,-,-,0,2597.25,1,201809
2017/11/28,SPF,-,-,-,-,0,2598.25,1,201809
2017/11/29,SPF,-,-,-,-,0,2623.5,1,201809
2017/11/30,SPF,-,-,-,-,0,2624,1,201809
2017/12/1,SPF,-,-,-,-,0,2641.5,1,201809
2017/12/4,SPF,-,-,-,-,0,2657.25,1,201809
2017/12/5,SPF,-,-,-,-,0,2642.25,1,201809
2017/12/6,SPF,-,-,-,-,0,2622.5,1,201809
2017/12/7,SPF,-,-,-,-,0,2634,1,201809
2017/12/8,SPF,-,-,-,-,0,2641.75,1,201809
2017/12/11,SPF,-,-,-,-,0,2651.75,1,201809
2017/12/12,SPF,-,-,-,-,0,2661.5,1,201809
2017/12/13,SPF,-,-,-,-,0,2660.25,1,201809
2017/12/14,SPF,-,-,-,-,0,2665.5,1,201809
2017/12/15,SPF,-,-,-,-,0,2657,1,201809
2017/12/18,SPF,-,-,-,-,0,2685.25,1,201809
2017/12/19,SPF,-,-,-,-,0,2693,1,201809
2017/12/20,SPF,-,-,-,-,0,2687.25,1,201809
2017/12/21,SPF,-,-,-,-,0,2680.25,1,201809
2017/12/22,SPF,-,-,-,-,0,2688,1,201809
2017/12/25,SPF,-,-,-,-,0,2686.75,1,201809
2017/12/26,SPF,-,-,-,-,0,2683.25,1,201809
2017/12/27,SPF,-,-,-,-,0,2685.75,1,201809
2017/12/28,SPF,-,-,-,-,0,2684.25,1,201809
2017/12/29,SPF,-,-,-,-,0,2685.75,1,201809
2018/1/2,SPF,-,-,-,-,0,2677.25,1,201809
2018/1/3,SPF,-,-,-,-,0,2694.25,1,201809
2018/1/4,SPF,-,-,-,-,0,2711,1,201809
2018/1/5,SPF,-,-,-,-,0,2723.25,1,201809
2018/1/8,SPF,-,-,-,-,0,2742.75,1,201809
2018/1/9,SPF,-,-,-,-,0,2741.75,1,201809
2018/1/10,SPF,-,-,-,-,0,2746.75,1,201809
2018/1/11,SPF,-,-,-,-,0,2750.75,1,201809
2018/1/12,SPF,-,-,-,-,0,2766.25,1,201809
2018/1/15,SPF,-,-,-,-,0,2792.25,1,201809
2018/1/16,SPF,-,-,-,-,0,2794.5,1,201809
2018/1/17,SPF,-,-,-,-,0,2780.25,1,201809
2018/1/18,SPF,-,-,-,-,0,2799.5,1,201809
2018/1/19,SPF,-,-,-,-,0,2791.75,1,201809
2018/1/22,SPF,-,-,-,-,0,2805.5,1,201809
2018/1/23,SPF,2855,2855,49.5,1.76%,1,2855,1,201809
2018/1/24,SPF,-,-,-,-,0,2855.25,1,201809
2018/1/25,SPF,-,-,-,-,0,2855,1,201809
2018/1/26,SPF,-,-,-,-,0,2860.5,2,201809
2018/1/29,SPF,-,-,-,-,0,2888.75,2,201809
2018/1/30,SPF,-,-,-,-,0,2853.5,2,201809
2018/1/31,SPF,-,-,-,-,0,2842.75,2,201809
2018/2/1,SPF,-,-,-,-,0,2851,2,201809
2018/2/2,SPF,-,-,-,-,0,2834.75,2,201809
2018/2/5,SPF,-,-,-,-,0,2767.25,2,201809
2018/2/6,SPF,-,-,-,-,0,2605.75,2,201809
2018/2/7,SPF,-,-,-,-,0,2689.5,2,201809
2018/2/8,SPF,-,-,-,-,0,2683.75,2,201809
2018/2/9,SPF,-,-,-,-,0,2615,2,201809
2018/2/12,SPF,-,-,-,-,0,2651.75,2,201809
2018/2/21,SPF,-,-,-,-,0,2727.25,2,201809
2018/2/22,SPF,-,-,-,-,0,2705.25,2,201809
2018/2/23,SPF,-,-,-,-,0,2735.5,2,201809
2018/2/26,SPF,-,-,-,-,0,2765.75,2,201809
2018/2/27,SPF,-,-,-,-,0,2794.75,2,201809
2018/3/1,SPF,-,-,-,-,0,2720.75,2,201809
2018/3/2,SPF,-,-,-,-,0,2691.75,2,201809
2018/3/5,SPF,-,-,-,-,0,2688.5,2,201809
2018/3/6,SPF,-,-,-,-,0,2735.25,2,201809
2018/3/7,SPF,-,-,-,-,0,2704,2,201809
2018/3/8,SPF,-,-,-,-,0,2739.75,2,201809
2018/3/9,SPF,-,-,-,-,0,2752.25,2,201809
2018/3/12,SPF,-,-,-,-,0,2809.5,2,201809
2018/3/13,SPF,-,-,-,-,0,2801.25,2,201809
2018/3/14,SPF,-,-,-,-,0,2779.75,2,201809
2018/3/15,SPF,-,-,-,-,0,2768.25,2,201809
2018/3/16,SPF,-,-,-,-,0,2765.75,2,201809
2018/3/19,SPF,2755.75,2756.5,-9.25,-0.33%,4,2756.5,6,201809
2018/3/20,SPF,2729,2727,-29.5,-1.07%,12,2727,15,201809
2018/3/21,SPF,2731.5,2731.5,4.5,0.17%,1,2731.5,17,201809
2018/3/22,SPF,-,-,-,-,0,2729.5,16,201809
